index,real_sentence,fake_sentence
46,"As long you have your own household in order, fretting about your neighbor's spending habits is a lot like fretting about the color of his living-room rug.","As long you have your own household in order, fretting about your neighbor's spending habits is a lot like fretting about the color of his living-room rug."
47,yeah so um also of course they they can they join the they can always join the military service they are considered citizens i believe,yeah so um also of course they they can they join the they can always join the civilian service they are considered citizens i believe
48,She smiled back.,She smiled back.
49,"According to the Office of the Actuary at the Health Care Financing Administration, the estimated net present value of future additional resources needed to fund HI benefits alone over the 75 years is $4.","According to the Office of the Actuary at the Health Care Financing Administration, the estimated gross absent value of past additional resources needed to fund HI benefits alone over the 75 years is$ 4."
50,"Thus, with respect to the litigation services Congress has funded, there is no alternative channel for expression of the advocacy Congress seeks to restrict.","Thus, with respect to the litigation services Congress has funded, there is no alternative channel for expression of the advocacy Congress seeks to restrict."
51,How do we fix this?',How do we fix this?'
52,but that takes too much planning,but that takes too little planning
53,"I did not mention Monica in my lecture, but the first question I was asked was how President Clinton could do his job with all the distractions caused by the Monica Lewinsky affair.","I did not mention Monica in my lecture, but the last question I was asked was how President Clinton could do his job with all the distractions caused by the Monica Lewinsky affair."
54,"Analyzing Postal Service accounts for depreciation, fuel, and maintenance for city delivery carriers, we have estimated the average city delivery vehicle cost per route.","Analyzing Postal Service accounts for depreciation, fuel, and maintenance for city delivery carriers, we have estimated the average city delivery vehicle cost per route."
55,Because it plays on my childhood imagination.,Because it plays on my childhood imagination.
56,it's slow it's uh there are many better machines on the market right now for,it's accelerate it's uh there are few bad machines on the market right now for
57,"At the heart of the sanctuary, a small granite shrine once held the sacred barque of Horus himself.","At the heart of the sanctuary, a big granite shrine once held the profaned barque of Horus himself."
58,Consider the United States Postal Service.,Consider the United States Postal Service.
59,In full costume.,In empty costume.
60,"Although your journey is going to be difficult and at times you will doubt yourselves, the benefits to clients are well worth it and the satisfaction of hearing even the most recalcitrant of adversaries say that the new system is better than the one that went before is deeply rewarding.","Although your journey is going to be easy and at times you will doubt yourselves, the benefits to clients are well worth it and the satisfaction of hearing even the most recalcitrant of adversaries say that the old system is better than the one that went before is deeply rewarding."
61,Take a remarkable statistic that Shesol cites but lets pass relatively unexamined.,Take a remarkable statistic that Shesol cites but lets pass relatively unexamined.
62,"It might have seemed like manna from heaven - up to thousands of dollars dropping, often unexpectedly, into the hands of a half-million Kentucky and Indiana residents this month.","It might have seemed like manna from heaven- up to thousands of dollars dropping, often unexpectedly, into the hands of a half-million Kentucky and Indiana residents this month."
63,Get individuals to invest their time and the funding will follow.,end individuals to invest their time and the funding will follow.
64,i often think gee i wish i had a video camera because i could sure use ten thousand dollars so but i like things like Evening Shade with Burt Reynolds i really enjoy that and uh,i often think gee i begrudge i had a video camera because i could sure use ten thousand dollars so but i like things like Evening Shade with Burt Reynolds i really enjoy that and uh
65,"The man on the ground thinks for a moment and yells back, You must work in management.","The man on the ground thinks for a moment and yells back, You must work in management."
66,"If, however, the evaluation question requires GAO to report on how satisfactory progress is or the reasons for problems in implementation, the more staff who can be on site over time, with the ricHe'st or thickest base for examining the situation as the many people involved see it, the sounder our causal conclusions and subsequent recommendations will be.","If, however, the evaluation question requires GAO to report on how unsatisfactory progress is or the reasons for problems in implementation, the fewer staff who can be on site over time, with the ricHe'st or thin base for examining the situation as the few people involved see it, the sounder our causal conclusions and antecedent recommendations will be."
67,The economy could be still better.,The economy could be still better.
68,Hills and mountains are especially sanctified in the cult of Jainism.,Hills and mountains are especially sanctified in the cult of Jainism.
69,The famous tenements (or lands ) began to be built.,The famous tenements( or lands) began to be built.
70,In the midst of this amazing amalgam of cultures is a passion for continuity.,In the midst of this amazing amalgam of cultures is a passion for continuity.
71,"Putting aside stage as a horse-drawn conveyance, a popular delicatessen, a part of a rocket, and an opportunity to mock Gail Sheehy (who seems to get a free ride from News Quiz participants), this question all but demanded the invention of a violent theatrical event, and that's not easy.","Putting aside stage as a horse-drawn conveyance, a unpopular delicatessen, a part of a rocket, and an opportunity to mock Gail Sheehy( who seems to get a blame ride from News Quiz participants), this question all but demanded the invention of a nonviolent untheatrical event, and that's not difficult."
72,Entreaties to the apartment's owner have gone nowhere.,Entreaties to the apartment's owner have gone nowhere.
73,Mrs. Cavendish is in her mother-in-law's room. ,Mrs. Cavendish is in her mother-in-law's room.
74,But I thought you'd sworn off coffee.,But I thought you'd sworn off coffee.
75,We stink all the time.,We stink all the time.
76,"In an increasingly interdependent world, many pressing problems that affect Americans can be addressed only through cooperation with other countries.","In an increasingly interdependent world, few pressing problems that affect Americans can be addressed only through cooperation with same countries."
77,Ca'daan continued.,Ca'daan continued.
78,The rule requires broadcasters to maintain a file for public inspection containing a Children's Television Programming Report and to identify programs specifically designed to educate and inform children at the beginning of those programs and to furnish such information to the publishers of program guides.,The rule requires broadcasters to maintain a file for private inspection containing a Children's Television Programming Report and to identify programs specifically designed to educate and inform children at the beginning of those programs and to furnish such information to the publishers of program guides.
79,well because how how hot i mean like like in the coldest that it gets in winter down there how much is it,well because how how cold i mean like like in the coldest that it gets in winter down there how little is it
80,Each of the men wore leather armor and dressed in the style of heavy riders.,Each of the men wore leather armor and dressed in the style of light riders.
81,The man should have died instantly.,The man should have died instantly.
82,"In summer the rice forms a green velvety blanket, then turns golden in autumn when it ripens and is harvested.","In summer the rice forms a ripe velvety blanket, then turns golden in autumn when it ripens and is harvested."
83,"Just as the Daily Worker and New Masses , socialist papers from the 1930s, were peppered with citations of Marx and Engels, Educational Liberator is peppered with references to their libertarian equivalents--Friedrich Hayek and Ludwig von Mises.","Just as the Daily Worker and New Masses, capitalistic papers from the 1930s, were peppered with citations of Marx and Engels, Educational Liberator is peppered with references to their necessitarian equivalents-- Friedrich Hayek and Ludwig von Mises."
84,"To be sure that any needlework item is the genuine article (as opposed to an inferior import or machine-made piece), look for a lead seal with an M, the emblem of IBTAM meaning it's been certified by the Instituto de Bordado, Tapecaras e Arte?­sanato da Madeira (Institute of Madeiran Embroidery, Tapestry, and Handicrafts), an official island organization that has a showroom/museum on Rua Visconde de Anadia, 44.","To be uncertain that any needlework item is the counterfeit article( as opposed to an adscript import or handmade piece), look for a deficit seal with an M, the emblem of IBTAM meaning it's been certified by the Instituto de Bordado, Tapecaras e Arte? ­sanato da Madeira( Institute of Madeiran Embroidery, Tapestry, and Handicrafts), an unofficial island organization that has a showroom/museum on Rua Visconde de Anadia, 44."
85,"I'm not into this Multivista stuff, because what is some dumpy system when compared to a beautiful hyperextension of the sun somewhere over Kuchara, when compared to the golden hue of onion fried with the kse-fi waves, when compared to the number of dividers for credit membranes in a wallet of a rich man, when compared to the magnificent smell of a briessante roll dunked in wholesome milk synthetically enriched with substances boosting the secretion of happiness hormones, that one from two years ago, not three,' Gonzo said in a tone characteristic for a man who just discovered a solution to his life problem.","I'm not into this Multivista stuff, because what is some dumpy system when compared to a ugly hyperextension of the sun somewhere over Kuchara, when compared to the golden hue of onion fried with the kse-fi waves, when compared to the number of dividers for credit membranes in a wallet of a lean man, when compared to the magnificent smell of a briessante roll dunked in unwholesome milk synthetically enriched with substances boosting the secretion of happiness hormones, that one from two years ago, not three,' Gonzo said in a tone characteristic for a man who just discovered a solution to his life problem."
86,"No matter what I ended up doing, I think I would have found some way within that profession to do public work, because that's what I was taught, Zelon said. ","No matter what I ended up doing, I think I would have found some way within that profession to do private work, because that's what I was taught, Zelon said."
87,Clark also expressed the hope that he and Redgrave could continue with their marriage.,Clark also expressed the hope that he and Redgrave could continue with their marriage.
88,"The poverty, for instance, does not create the sense of shame as it does for people who live in Western countries.","The poverty, for instance, does not create the sense of shame as it does for people who live in eastern countries."
89,"Back on the road to Jaisalmer, one last splash of color delights the senses before you plunge into the the fields are dotted with mounds of red hot chili peppers.","Back on the road to Jaisalmer, one first splash of color delights the senses before you plunge into the the fields are dotted with mounds of gaied cold chili peppers."
90,they supplied some uh you know they were some groups uh the Vicksburg if you ever get a chance to go over to Vicksburg the battleground at Vicksburg uh there's an area there where there was uh some Texas uh groups and they had an interesting time there,they supplied some uh you know they were some groups uh the Vicksburg if you ever get a chance to go over to Vicksburg the battleground at Vicksburg uh there's an area there where there was uh some Texas uh groups and they had an boring time there
91,which i mean i think it should be anyway,which i mean i think it should be anyway
92,"Also, compensation committees need to understand the implications of compensation to provide incentives for management to do the right thing for the company and its shareholders versus themselves.","Also, compensation committees need to understand the implications of compensation to provide incentives for management to do the falsify thing for the company and its shareholders versus themselves."
93,"The fourth-century Roman emperor Gratianus was an early visitor, followed much later by such luminaries as the Romantic poet Alphonse de Lamartine, Queen Victoria, Saint-Sa?«ns, and Rachmaninov.","The fourth-century Roman emperor Gratianus was an late visitor, followed much later by such luminaries as the Romantic poet Alphonse de Lamartine, Queen Victoria, Saint-Sa? « ns, and Rachmaninov."
94,"So, I went to court by myself and told them the truth, but it didn't do me any good.","So, I went to court by myself and told them the truth, but it didn't do me any bad."
95,"Click More Links (on the right-hand side under Miscellaneous), and from","Click fewer Links( on the right-hand side under Miscellaneous), and from"
96,and so i started watching it and all of a sudden stay tuned next week and i went what,and so i started watching it and all of a gradual stay tuned next week and i went what
97,no oh no oh well take care,no oh no oh well take care
98,"'Hello, Ben.'","'Hello, Ben.'"
99,how can you prove it,how can you prove it
100,"It displays all kinds of vehicles, from the coach that carried Napoleon to and from Moscow in 1812 to a splendid 4-horsepower Renault car from 1904 and other turn-of-the-century classics.","It displays all kinds of vehicles, from the coach that carried Napoleon to and from Moscow in 1812 to a splendid 4-horsepower Renault car from 1904 and same turn-of-the-century classics."
101,"According to this executive, the town hall meetings helped improve his customer satisfaction levels because veterans identified the concerns that were most important to them, gained direct access to the VBA employees working on their benefit claims, and were better able to understand the claims process.","According to this executive, the town hall meetings helped improve his customer satisfaction levels because veterans identified the concerns that were most insignificant to them, gained alternating access to the VBA employees working on their benefit claims, and were better unable to understand the claims process."
102,well see that isn't too bad  a couple hours,well see that isn't too good a couple hours
103,"In the east, Christian forces were in retreat as a new Moslem power began to rise.","In the east, unchristian forces were in retreat as a old Moslem power began to rise."
104,We have been told on reasonably high authority that true charity vaunteth not itself,We have been told on reasonably low authority that false charity vaunteth not itself
105,yeah and what to do when they're faced with it,yeah and what to do when they're faced with it
106,"The  With attorneys one year out of graduate school facing an average debt of just less than $90,000 and starting salaries at legal aid organizations averaging $31,000, they couldn't afford the job.","The With attorneys one year out of graduate school facing an average debt of just more than$ 90,000 and starting salaries at illegal aid organizations averaging$ 31,000, they couldn't afford the job."
107,"Here you'll see a shrunken head, a two-headed goat, and a statue of Marilyn Monroe made of shredded money, among other curiosities.","Here you'll see a expand head, a two-headed goat, and a statue of Marilyn Monroe made of shredded money, among same curiosities."
108,"Thursday's judge, the Honorable Charles Adams of the Coconino County Superior Court, agreed, but highly discouraged self-representation.","Thursday's judge, the Honorable Charles Adams of the Coconino County Superior Court, agreed, but highly discouraged self-representation."
109,"He mostly hangs out with a group of older, Southern black men, who call him Jumper and Black Cat.","He mostly hangs out with a group of new, northern white men, who call him Jumper and Black Cat."
110,This elegant spa town on the edge of the Lac du Bourget has offered cures for rheumatism and other ailments for centuries.,This inelegant spa town on the edge of the Lac du Bourget has offered cures for rheumatism and same ailments for centuries.
111,right right well it's it's a beautiful city and but the problem is like first example when i was young they they took me to Las Vegas and that was the most boring place on earth,right right well it's it's a ugly city and but the problem is like last example when i was aged they they took me to Las Vegas and that was the most interesing place on earth
112,'Less loud.,'Less loud.
113,i'm going to be able to make my own clothes,i'm going to be unable to make my own clothes
114,The river plays a central role in all visits to Paris.,The river plays a peripheral role in all visits to Paris.
115,they're supposed to be bilingual,they're supposed to be bilingual
116,"Oh, Czarek, but will happen to us?","Oh, Czarek, but will happen to us?"
117,"Turned out, I wasn't completely wrong.","Turned out, I wasn't completely correct."
118,"Native  'Me win, me passum heap big law ...","adopted'Me win, me passum heap little law..."
119,"In any case--it's over.""  ",In any case-- it's over.''
120,The herbal extract shows success in treating mild dementia and preventing Alzheimer's memory loss.,The herbal extract shows success in treating intense dementia and preventing Alzheimer's memory loss.
121,"After a lightning victory over the ill-prepared French armies, the Germans marched on Paris and laid siege to the city, which finally capitulated in January 1871 in the face of dwindling food supplies.","After a lightning victory over the ill-prepared French armies, the Germans marched on Paris and laid siege to the city, which finally capitulated in January 1871 in the face of dwindling food supplies."
122,That is why icons have the power they have.,That is why icons have the power they have.
123,Critical to the product development process were activities that enabled the capture of specific design and manufacturing knowledge and decision reviews to determine if the knowledge captured would support the increased investment necessary to move to the next development phase or into production.,noncritical to the product development process were activities that enabled the capture of general design and manufacturing knowledge and decision reviews to determine if the knowledge captured would support the increased investment inessential to move to the next development phase or into production.
124,Said I was foolishly proud. ,Said I was foolishly humble.
125,The word had filled his head as though the girl had whispered directly into both ears.,The word had filled his head as though the girl had whispered directly into both ears.
126,and a lot of their rules and regulations aren't real clear so we have our manager of environmental who assist the TACB which is located in Austin in writing and hey look what we've done here at TI,and a lot of their rules and regulations aren't insubstantial bounce so we have our manager of environmental who assist the TACB which is located in Austin in writing and hey look what we've done here at TI
127,"Among these are the red brick Royal Palace, which now houses the Patan Museum (Nepal's finest and most modern museum), and, facing the palace across the narrow brick plaza, eight temples of different styles and sizes.","Among these are the gaied brick Royal Palace, which now houses the Patan Museum( Nepal's coarse and most nonmodern museum), and, facing the palace across the broad-minded brick plaza, eight temples of like styles and sizes."
128,yeah it's kind of like in Louisiana where that uh guy that's like a Ku Klux Klan member something got elected  kind of scary when you think about that,yeah it's kind of like in Louisiana where that uh guy that's like a Ku Klux Klan member something got elected kind of scary when you think about that
129,or at least they try and do something about it first,or at most they try and do something about it first
130,i i'm i'm not really impressed with i mean i lived in Germany for three years i i was i'm not impressed with skiing now i like i like other you know winter sports but i'm not real thrilled about them,i i'm i'm not really impressed with i mean i lived in Germany for three years i i was i'm not impressed with skiing now i like i like same you know winter sports but i'm not insubstantial thrilled about them
131,It's a commitment to general education--a sequence of courses intended to develop critical thinking in a wide variety of disciplines--in opposition to early specialization.,It's a commitment to local education-- a sequence of courses intended to develop noncritical thinking in a narrow variety of disciplines-- in opposition to late specialization.
132,Theoretically scale economies in delivery are not firm specific.,Theoretically scale economies in delivery are not firm specific.
133,National saving represents resources available for investment to replace old factories and equipment and to buy more and better capital goods.,National saving represents resources unavailable for investment to replace new factories and equipment and to buy fewer and bad capital goods.
134,"Others complain that the superstars are over the hill, and are trotting out mediocre work.","Others complain that the superstars are over the hill, and are trotting out mediocre work."
135,"Collaboration with rigorous methodologists is important, but those collaborations have to focus on what can be accomplished specifically in the ED setting.","Collaboration with rigorous methodologists is insignificant, but those collaborations have to focus on what can be accomplished specifically in the ED setting."
136,you know their demographic studies that they do that show you know that everybody's IQ has dropped dramatically  or something,you know their demographic studies that they do that show you know that everybody's IQ has dropped dramatically or something
137,"Without the support of federal finance organizations, program managers may not be able to determine or defend the cost associated with or benefits derived from government activities.","Without the support of unitary finance organizations, program managers may not be unable to determine or defend the cost associated with or benefits derived from government activities."
138,The union has about 4000 members in Canada.,The union has about 4000 members in Canada.
139,but then we started watching it and and like the new ones are pretty cool because because they got like uh like special like especially things that like fuck with your mind,but then we started watching it and and like the old ones are pretty heat because because they got like uh like special like especially things that like fuck with your mind
140,"In 2000, GNP was less than GDP because income receipts from the rest of the world were less than U.S. payments to the rest of the world.","In 2000, GNP was more than GDP because income receipts from the rest of the world were more than U.S. payments to the rest of the world."
141,"Have you any tips to give us before we clear out?""",Have you any tips to give us before we clear out?''
142,and they keep taking more money from us yeah people and get and they don't have any incentive to work if we're just gonna take fifty percent of it,and they keep taking fewer money from us yeah people and get and they don't have any incentive to work if we're just gon na take fifty percent of it
143,"They depended too heavily on the second great principle of contagion, and that seemed to be wrapped up with some kind of association through the signs and houses and the courses of the planets.","They depended too heavily on the first great principle of contagion, and that seemed to be wrapped up with some kind of association through the signs and houses and the courses of the planets."
144,i guess the financial planners the training now we've had it for about four years here got our businesses and and and our life in line how to manage credit cards how to put away say for you know money markets and this kind of thing,i guess the nonfinancial planners the training now we've had it for about four years here got our businesses and and and our life in line how to manage credit cards how to put away say for you know money markets and this kind of thing
145,"Richardson's need to make Picasso into a serious artist and an honorable man (instead of the inspired poetic rascal he actually was) deforms, above all, his account of Picasso's relations with women, he writes.","Richardson's need to make Picasso into a frivolous artist and an dishonest man( instead of the exhaled poetic rascal he actually was) deforms, above all, his account of Picasso's relations with women, he writes."
146,"'Uh, hi guys,' Daniel said meekly.","'Uh, hi guys,' Daniel said meekly."
147,oh um i talked to someone about San Antonio,oh um i talked to someone about San Antonio
148,A misty morning makes the scene even more evocative of the past.,A misty morning makes the scene even more evocative of the past.
149,"Due to this rationalization of delivery cost in the U.S., the postal densities of the most sparsely populated areas are higher than the densities of the most sparsely populated areas of France.","undue to this rationalization of delivery cost in the U.S., the postal densities of the most sparsely populated areas are low than the densities of the most sparsely populated areas of France."
150,"Races are held between April and December at the Veliefendi Hippodrome near Bakerky, 15 km (9 miles) west of Istanbul.","Races are held between April and December at the Veliefendi Hippodrome near Bakerky, 15 km( 9 miles) west of Istanbul."
151,"The production of anhydrous ammonia in the U.S. in 2000 was approximately 17,400,000 tons (equivalent anhydrous) with apparent consumption of 22,000,000 tons and about 4,600,000 met through net imports, as shown in a 2001 edition of U.S.","The production of hydrous ammonia in the U.S. in 2000 was approximately 17,400,000 tons( equivalent hydrous) with apparent consumption of 22,000,000 tons and about 4,600,000 met through net imports, as shown in a 2001 edition of U.S."
152,oh yeah they do that i mean in in in north Texas they do that quite a bit where you know if you want to go to this particular movie or concert or a discounted thing the big thing down here is rodeos uh if you,oh yeah they do that i mean in in in south Texas they do that quite a bit where you know if you want to go to this general movie or concert or a discounted thing the little thing down here is rodeos uh if you
153,"Over the past eight years, the school acquired over $88 million of real estate in the Allston section of Boston without revealing its identity to prospective sellers.","Over the future eight years, the school acquired over$ 88 million of insubstantial estate in the Allston section of Boston without revealing its identity to retrospective sellers."
154,uh it's but then there's so many people you get so many different opinions like well you shouldn't have well i shouldn't have to have to do this or i shouldn't have to do that and all this other stuff i don't want to get involved and,uh it's but then there's so few people you get so few like opinions like well you shouldn't have well i shouldn't have to have to do this or i shouldn't have to do that and all this same stuff i don't want to get obviated and
155,um-hum so you figure one of these days you're going to go back to being an engineer is that what you think,um-hum so you figure one of these days you're going to go back to being an engineer is that what you think
156,Right on the waterfront; offers a more formal atmosphere and a great place to catch a sunset.,Right on the waterfront; offers a more informal atmosphere and a great place to catch a sunset.
157,"To be sure that any needlework item is the genuine article (as opposed to an inferior import or machine-made piece), look for a lead seal with an M, the emblem of IBTAM meaning it's been certified by the Instituto de Bordado, Tapecaras e Arte?­sanato da Madeira (Institute of Madeiran Embroidery, Tapestry, and Handicrafts), an official island organization that has a showroom/museum on Rua Visconde de Anadia, 44.","To be uncertain that any needlework item is the counterfeit article( as opposed to an adscript import or handmade piece), look for a deficit seal with an M, the emblem of IBTAM meaning it's been certified by the Instituto de Bordado, Tapecaras e Arte? ­sanato da Madeira( Institute of Madeiran Embroidery, Tapestry, and Handicrafts), an unofficial island organization that has a showroom/museum on Rua Visconde de Anadia, 44."
158,"However, my confidence in him, which at one time had rather waned, was fully restored since his belief in Alfred Inglethorp's innocence had been so triumphantly vindicated. ","However, my confidence in him, which at one time had rather waned, was fully restored since his belief in Alfred Inglethorp's innocence had been so triumphantly vindicated."
159,(Kohler's Dictionary for Accountants) CONTRACT AUTHORITY - Contract authority is a subset of budget authority.,( Kohler's Dictionary for Accountants) CONTRACT AUTHORITY- Contract authority is a subset of budget authority.
160,"The company once assembled, Poirot rose from his seat with the air of a popular lecturer, and bowed politely to his audience. ","The company once assembled, Poirot rose from his seat with the air of a unpopular lecturer, and bowed politely to his audience."
161,It will be a pleasure dressing Jane.,It will be a pleasure dressing Jane.
162,"Engakuji is Kamakura's largest temple complex; often wracked by fire and earthquake, 17 of the original 46 buildings have survived.","Engakuji is Kamakura's little temple complex; often wracked by fire and earthquake, 17 of the unoriginal 46 buildings have survived."
163,"In applying this requirement, the following factors may influence the auditors' assessment of control ","In applying this requirement, the leading factors may influence the auditors' assessment of control"
164,do they live close by,do they live close by
165,History defies laws.,History defies laws.
166,Now conservatives are fighting back.,Now conservatives are fighting back.
